Column1,schid,schname,distid,dist,city,county,type,District Type,low,PSAE
612,2.01E+14,Mount Carmel High School,2.01E+14,Wabash CUSD 348,Mount Carmel,Wabash,HIGH SCHOOL,Non Chicago School,17.5,59.6
613,2.50E+14,Waltonville High School,2.50E+14,Waltonville CUSD 1,Waltonville,Jefferson,HIGH SCHOOL,Non Chicago School,11.6,52.7
614,2.71E+14,WARREN JR/SR HIGH SCHOOL,2.71E+14,WARREN C U SCH DIST 222,MONMOUTH,WARREN,HIGH SCHOOL,Non Chicago School,20.1,71.3
615,8.04E+13,Warren Jr/Sr High School,8.04E+13,Warren CUSD 205,Warren,Jo Daviess,HIGH SCHOOL,Non Chicago School,19.9,55.4
616,3.40E+14,Warren Township High School,3.40E+14,Warren Twp HSD 121,Gurnee,Lake,HIGH SCHOOL,Non Chicago School,6.9,66
617,3.91E+14,Warrensburg-Latham High School,3.91E+14,Warrensburg-Latham CUSD 11,Warrensburg,Macon,HIGH SCHOOL,Non Chicago School,10.6,62.9
618,2.60E+14,Warsaw Sr High School,2.60E+14,Warsaw CUSD 316,Warsaw,Hancock,HIGH SCHOOL,Non Chicago School,13.7,55.1
619,5.31E+14,Washington Comm High School,5.31E+14,Washington CHSD 308,Washington,Tazewell,HIGH SCHOOL,Non Chicago School,6,62.8
620,4.51E+14,Waterloo High School,4.51E+14,Waterloo CUSD 5,Waterloo,Monroe,HIGH SCHOOL,Non Chicago School,4.7,66.1
621,3.40E+14,Wauconda High School,3.40E+14,Wauconda CUSD 118,Wauconda,Lake,HIGH SCHOOL,Non Chicago School,7.8,63.1
622,3.40E+14,Waukegan High School,3.40E+14,Waukegan CUSD 60,Waukegan,Lake,HIGH SCHOOL,Non Chicago School,42.9,32.9
623,4.61E+14,Waverly High School,4.61E+14,Waverly CUSD 6,Waverly,Morgan,HIGH SCHOOL,Non Chicago School,26,52
624,2.01E+14,Wayne City High School,2.01E+14,Wayne City CUSD 100,Wayne City,Wayne,HIGH SCHOOL,Non Chicago School,28.9,51.4
