Column1,schid,schname,distid,dist,city,county,type,District Type,low,ISAT
3102,4.41E+14,Northwood Middle School,4.41E+14,Woodstock CUSD 200,Woodstock,McHenry,MIDDLE SCHL,Non Chicago School,33,64.7
3103,4.41E+14,Creekside Middle School,4.41E+14,Woodstock CUSD 200,Woodstock,McHenry,MIDDLE SCHL,Non Chicago School,27.3,73.3
3104,4.41E+14,Olson Elementary School,4.41E+14,Woodstock CUSD 200,Woodstock,McHenry,ELEMENTARY,Non Chicago School,49,67.1
3105,4.41E+14,Mary Endres Elementary School,4.41E+14,Woodstock CUSD 200,Woodstock,McHenry,ELEMENTARY,Non Chicago School,41.7,72.3
3106,4.41E+14,Dean Street Elem School,4.41E+14,Woodstock CUSD 200,Woodstock,McHenry,ELEMENTARY,Non Chicago School,39.1,64.6
3107,4.41E+14,Westwood Elem School,4.41E+14,Woodstock CUSD 200,Woodstock,McHenry,ELEMENTARY,Non Chicago School,31,77.4
3108,7.02E+13,Worth Elem School,7.02E+13,Worth SD 127,Worth,Cook,ELEMENTARY,Non Chicago School,16.3,80.3
3109,7.02E+13,Worth Jr High School,7.02E+13,Worth SD 127,Worth,Cook,MIDDLE SCHL,Non Chicago School,19.6,72.8
3110,7.02E+13,Worthwoods Elem School,7.02E+13,Worth SD 127,Worth,Cook,ELEMENTARY,Non Chicago School,22.7,78.8
3111,2.40E+14,Circle Center Grade School,2.40E+14,Yorkville CUSD 115,Yorkville,Kendall,ELEMENTARY,Non Chicago School,6.3,69.4
3112,2.40E+14,Yorkville Middle School,2.40E+14,Yorkville CUSD 115,Yorkville,Kendall,MIDDLE SCHL,Non Chicago School,5.5,66.9
3113,2.71E+14,YORKWOOD JR HIGH SCHOOL,2.71E+14,YORKWOOD CUSD 225,MONMOUTH,WARREN,MIDDLE SCHL,Non Chicago School,49.2,67.1
3114,2.71E+14,YORKWOOD ELEMENTARY SCHOOL,2.71E+14,YORKWOOD CUSD 225,MONMOUTH,WARREN,ELEMENTARY,Non Chicago School,52.5,85.3
3115,2.10E+14,Zeigler-Royalton Jr High School,2.10E+14,Zeigler-Royalton CUSD 188,Zeigler,Franklin,MIDDLE SCHL,Non Chicago School,53.6,58.6
3116,2.10E+14,Zeigler-Royalton Elem School,2.10E+14,Zeigler-Royalton CUSD 188,Zeigler,Franklin,ELEMENTARY,Non Chicago School,54.4,65.2
3117,3.40E+14,Beulah Park Elem School,3.40E+14,Zion ESD 6,Zion,Lake,ELEMENTARY,Non Chicago School,47,58.1
